,Label,Category,Gerne,프로필사진,로고타입,프레스킷,"가중치, 최대10"
SoUL (from Seoul),The Compass Ent,"Director, DJ","Open Format, House, EDM, Etc",o,o,o,10
Juncoco,BEPC,"Producer, DJ","Open Format, EDM",o,o,o,9
Vandalrock,BEPC,"Producer, DJ","Open Format, EDM",o,,o,9
X_X,,"Producer, DJ",EDM,o,,o,9
Arkins,Nowhere,,K-bounce,,,o,9
Smesher,Nowhere,,K-bounce,,,o,8
Castle-J,Nowhere,,K-bounce,,,o,7
Nwanji,Nowhere,,K-bounce,,,o,5
AK,Initial Music,,"Open Format, EDM",o,,o,8
DJ Moai,TheHighest Ent,,"Open Format, EDM",o,,,8
Cosmickey,TheHighest Ent,,"Open Format, EDM",o,,,8
Guilty Pleasure,TheHighest Ent,,"Open Format, EDM",,,o,8
DJ Vaha,TheHighest Ent,,"House, EDM",o,,,5
Sweeny,TheHighest Ent,,"K-bounce, EDM",o,,,6
Minchae,,,,o,,,5
ZB,,,"Open Format, EDM",o,,o,8
Ation,,,"Open Format, EDM",o,,,8
Youkeep,,,"Open Format, EDM",,o,o,6
XTC Project,,,,o,o,o,8
Siena,,,"Open Format, EDM",,,o,7
Hanna,Initial Music,,"House, Hiphop",o,o,o,6
Kwonyeonsu,,,House,o,o,o,7
Harfstep ( Soo & Midori ),,,"Open Format, EDM",o,o,o,7
Harfstep (Soo),,,"Open Format, EDM",o,o,o,7
ITMA,,,"House, EDM",o,,,5
Daywalker,,,"Open Format, EDM",o,,o,8
NotXerius,Muin,,"Open Format, EDM",o,o,o,8
Sfuff,Muin,,EDM,o,,,6
Seorin,Muin,,"House, EDM",o,o,o,6
DJ Breeze,,,"Open Format, EDM",o,o,o,6
DJ Cold,,,"Open Format, EDM",o,,,6
DJ Kade,,,"Open Format, EDM",o,o,o,6
MUKTHI,Wonder Boyz,"DJ, Actress","Open Format, EDM",o,,,7
DJ Roha,,"Producer, DJ",Dubstep,o,o,o,8
Cream,,"Producer, DJ",Dubstep,o,o,o,8
Dipcod,,,Techno,o,o,o,8
Risho,The Compass Ent,,House,o,o,o,6
DJ Kara,The Compass Ent,,"EDM, Hard Style, Kpop",o,o,o,6
DJ Heejae,The Compass Ent,"DJ, Idol, Dancer","EDM, Hard Style, Kpop",o,o,o,6
Liha (프로듀스48),The Compass Ent,"DJ, Idol, Dancer","EDM, Hard Style, Kpop",o,o,o,7
DJ Kyuria,The Compass Ent,"DJ, Dancer","EDM, Hard Style, Kpop",o,o,o,6
DJ Toxic B,The Compass Ent,,"House, EDM, Hard Style",o,o,o,7
DJ U.NA,The Compass Ent,"DJ, Model","EDM, Hard Style, Kpop",o,o,o,7
IRUMI,,,"House, EDM, Hard Style",o,o,o,7
DJ Sarang,,"Producer, DJ","EDM, Hard Style, Kpop",o,o,o,7
Jiwoo,,"DJ, Model",House,o,,o,7
DJ Riya,,"DJ, Dancer","EDM, Hard Style, Kpop",o,o,o,5
DJ Lant,,"Producer, DJ","House, EDM",o,,o,7
DJ Sion,,"Producer, DJ","K-bounce, EDM",o,,,7
DJ Mochi,,,"House, EDM",o,,o,6
DJ Windy,,,"EDM, Hard Style, Kpop",o,o,o,6
DJ Bliss,,,"EDM, Hard Style, Kpop",o,o,o,6
DJ Siro,,"Producer, DJ","K-bounce, EDM",o,o,o,5
Tricky,,,"House, EDM, Hard Style",o,o,o,6
모모랜드(Hyebin) & S2,BEPC,"DJ, Idol",EDM,o,,o,1
티아라 (화영),,"DJ, Idol",EDM,o,,,5
레인보우(조현영),,"DJ, Idol",EDM,o,,,1
MIU,BEPC,,"K-bounce, EDM",o,,,5
DJ Hyunah,BEPC,"DJ, Idol, Dancer","EDM, Hard Style, Kpop",o,,,5
Joody,BEPC,"Producer, DJ",EDM,o,,,5
DJ Chayou,BEPC,,EDM,o,,,1
DJ Siwon,BEPC,,EDM,o,,,1
Chawon,BEPC,,EDM,o,,,1
DJ Dorothy,BEPC,,"K-bounce, EDM",o,,,1
Ruby,BEPC,,"K-bounce, EDM",o,,,1
Suvin,BEPC,"DJ, Idol","K-bounce, EDM",o,,,1
Babbyang,BEPC,,"K-bounce, EDM",o,,,1
Hanini,BEPC,,"K-bounce, EDM",o,,,1
DJ Green,Wonder Boyz,,"K-bounce, EDM",o,,,1
DJ Erry,,,"K-bounce, EDM",o,o,o,1
Gaho,,"DJ, Idol","Open Format, EDM",o,,,8
Minky,,,Hiphop,o,,,5
Sua,Wonder Boyz,,EDM,o,,,1
Xia,,,Techno,o,,,5
Jina,,,EDM,o,,,1
Dana,Wonder Boyz,,EDM,o,,,1
Bae,Wonder Boyz,,EDM,o,,,1
Acid,Wonder Boyz,,EDM,o,,,1
Beatberry,Wonder Boyz,,EDM,o,,,1
Jiggy,Wonder Boyz,,EDM,o,,,1
Jello,Wonder Boyz,,Hiphop,o,,,1
Cash,Wonder Boyz,,EDM,o,,,1
ARI,Wonder Boyz,,EDM,o,,,1
